fold,feature,importance
1,2-norm,4.4323775263218e-06
1,5-norm,1.375397197356958e-05
1,7-norm,6.939399379539083e-05
1,Cu,1.707136983389388e-05
1,MagpieData avg_dev Number,3.3897112895374355e-05
1,MagpieData mean MendeleevNumber,3.350313337285778e-05
1,MagpieData avg_dev MendeleevNumber,9.960467237726745e-05
1,MagpieData avg_dev AtomicWeight,0.0011170346586312108
1,MagpieData mode MeltingT,0.0031103568425301974
1,MagpieData avg_dev Row,0.0002170742933928941
1,MagpieData mode CovalentRadius,0.0
1,MagpieData mean Electronegativity,0.0010986159666881684
1,MagpieData avg_dev Electronegativity,5.556591010683294e-05
1,MagpieData mean NdValence,7.205790982369072e-05
1,MagpieData mean NfValence,6.165001541956727e-05
1,MagpieData mean NValence,0.000934836877107946
1,MagpieData mode NValence,0.0005156786235832133
1,MagpieData mean NdUnfilled,0.0
1,MagpieData mean GSvolume_pa,0.0003268561697980001
1,avg d valence electrons,0.0002959404335862287
1,frac s valence electrons,2.3489868603014064e-05
1,frac d valence electrons,0.0008049865656267612
1,frac f valence electrons,7.098686840647908e-06
1,density,0.7035777807816177
1,vpa,0.10262250603737118
1,packing fraction,0.06202755355372833
1,spacegroup_num,0.0018081851970375739
1,ChemEnv_mean_S:5,0.0023697931765459417
1,ChemEnv_mean_O:6,0.001232193093993094
1,ChemEnv_mean_BO_3:8,0.000478299662072476
1,ChemEnv_mean_I:12,0.0012566808933463197
1,ChemEnv_mean_C:12,0.010371671933561862
1,ChemEnv_mean_AC:12,0.00901247927649271
1,ChemEnv_std_S:5,0.0006654020144181008
1,ChemEnv_std_HB:8,0.0007554712596347133
1,ChemEnv_std_BO_3:8,9.841113350473367e-06
1,ChemEnv_std_MI:10,0.02021109173792427
1,ChemEnv_std_TT:12,0.001142879758475322
1,ChemEnv_std_C:12,0.00045072366548188036
1,ChemEnv_std_AC:12,0.0005238271264248722
1,ChemEnv_min_C:12,0.03712230941727477
1,ChemEnv_min_AC:12,0.0011718122814191594
1,ChemEnv_max_S:5,0.02106138217329285
1,ChemEnv_max_O:6,0.00013822098979769326
1,ChemEnv_max_HB:8,0.00017442454741247284
1,ChemEnv_max_BO_3:8,0.001155208966295033
1,ChemEnv_max_MI:10,0.009806613648951858
1,ChemEnv_max_I:12,0.0012672641573155392
1,ChemEnv_max_C:12,0.00024958806447512497
1,ChemEnv_max_AC:12,0.0004238960187756125
2,density,0.7238307180405565
2,vpa,0.10040200529520235
2,packing fraction,0.019780317358253544
2,n_symmetry_ops,0.008935913684124034
2,ChemEnv_mean_S:5,0.009056568926873693
2,ChemEnv_mean_O:6,0.007818279879502552
2,ChemEnv_mean_DD:8,1.8320438010039105e-05
2,ChemEnv_mean_BO_3:8,1.5136199437754514e-05
2,ChemEnv_mean_MI:10,0.034100996500217536
2,ChemEnv_mean_I:12,0.0024432463667775806
2,ChemEnv_mean_C:12,0.00833815830625854
2,ChemEnv_mean_AC:12,0.0063525983503005855
2,ChemEnv_std_S:5,0.0005791079498982025
2,ChemEnv_std_O:6,0.0009833888409591937
2,ChemEnv_std_HB:8,0.009945960736753807
2,ChemEnv_std_BO_3:8,0.00019527536145396693
2,ChemEnv_min_C:12,0.060362992641303286
2,ChemEnv_min_AC:12,0.0006285083563865119
2,ChemEnv_max_S:5,0.00013420375839674276
2,ChemEnv_max_HB:8,0.0027709322267285928
2,ChemEnv_max_BO_3:8,2.980617892489502e-05
2,ChemEnv_max_MI:10,0.0006065819687574582
2,ChemEnv_max_I:12,0.0009658581181373995
2,ChemEnv_max_C:12,0.0006645889449100538
2,ChemEnv_max_AC:12,0.0010405355718750271
3,2-norm,9.756507245480132e-05
3,3-norm,0.0011542607756804073
3,5-norm,3.4466846111475275e-05
3,7-norm,0.0007291488101989106
3,10-norm,0.0002645703767760962
3,Cu,1.4886866467827847e-05
3,MagpieData mean Number,0.0002841141845185175
3,MagpieData avg_dev Number,2.2668170004591575e-05
3,MagpieData mean MendeleevNumber,0.00020400716916853001
3,MagpieData avg_dev MendeleevNumber,4.206947365996969e-06
3,MagpieData mean AtomicWeight,4.2384142620602946e-06
3,MagpieData avg_dev AtomicWeight,3.2536398746482167e-07
3,MagpieData mean MeltingT,0.0007923207054753952
3,MagpieData avg_dev MeltingT,0.00010638353788657565
3,MagpieData mean Column,0.000167394733046849
3,MagpieData avg_dev Column,2.121990804921986e-06
3,MagpieData mean Row,0.000713060775350222
3,MagpieData avg_dev Row,5.3309671014107865e-05
3,MagpieData mean CovalentRadius,0.0004897247480630066
3,MagpieData avg_dev CovalentRadius,0.00026483637977559504
3,MagpieData mean Electronegativity,3.0770918315747994e-06
3,MagpieData avg_dev Electronegativity,6.803373081667731e-06
3,MagpieData mean NdValence,0.0001934483693089162
3,MagpieData avg_dev NdValence,4.055335357901768e-05
3,MagpieData mean NfValence,0.00022364774657091796
3,MagpieData avg_dev NfValence,2.657185056817251e-06
3,MagpieData mean NValence,0.00015605681293356488
3,MagpieData avg_dev NValence,8.500900443827594e-07
3,MagpieData mean NdUnfilled,3.825092432215037e-08
3,MagpieData avg_dev NdUnfilled,2.0453283509118334e-05
3,MagpieData mean NUnfilled,5.332173800657485e-06
3,MagpieData avg_dev NUnfilled,1.5690962469515816e-05
3,MagpieData mean GSvolume_pa,2.5700880429626958e-05
3,MagpieData avg_dev GSvolume_pa,1.0279317464006354e-05
3,avg d valence electrons,0.0013313264580571847
3,avg f valence electrons,5.709926006455831e-06
3,frac s valence electrons,4.171287740714701e-05
3,frac d valence electrons,2.572102366958137e-05
3,frac f valence electrons,5.01541073705428e-06
3,density,0.6964089964694722
3,vpa,0.07966199839344261
3,packing fraction,0.05431173600905796
3,spacegroup_num,0.0017571058082692487
3,crystal_system_int,3.837661250236426e-05
3,n_symmetry_ops,0.0003297978583886255
3,ChemEnv_mean_S:1,0.0009918958030598135
3,ChemEnv_mean_L:2,0.0014548678053159614
3,ChemEnv_mean_A:2,0.00018487546156086088
3,ChemEnv_mean_TY:3,0.0005655078684089548
3,ChemEnv_mean_T:4,0.00012349335380363306
3,ChemEnv_mean_S:4,0.0003978133945179917
3,ChemEnv_mean_S:5,0.002208603837876595
3,ChemEnv_mean_T:5,7.833736966480595e-05
3,ChemEnv_mean_T:6,0.00023344589288412502
3,ChemEnv_mean_ST:7,4.920681642743955e-05
3,ChemEnv_mean_C:8,0.0009010433082967523
3,ChemEnv_mean_DD:8,2.233406313188563e-06
3,ChemEnv_mean_DDPN:8,1.7028892709147615e-05
3,ChemEnv_mean_HB:8,0.0033377449334426445
3,ChemEnv_mean_BO_3:8,0.0026536303460632455
3,ChemEnv_mean_PA:10,8.846918091864258e-05
3,ChemEnv_mean_MI:10,0.0005149664864120152
3,ChemEnv_mean_I:12,0.0002697868826846846
3,ChemEnv_mean_C:12,0.025953196118301488
3,ChemEnv_mean_AC:12,0.0073699569828279176
3,ChemEnv_std_SY:4,0.00022789313613232358
3,ChemEnv_std_S:5,0.00010885831972567272
3,ChemEnv_std_O:6,0.004189523024408148
3,ChemEnv_std_T:6,0.00014594720193831948
3,ChemEnv_std_ST:7,3.31964292577214e-05
3,ChemEnv_std_SA:8,9.034976836363163e-05
3,ChemEnv_std_DD:8,6.229167136481703e-05
3,ChemEnv_std_DDPN:8,1.0924647533188628e-05
3,ChemEnv_std_HB:8,6.400925356148461e-05
3,ChemEnv_std_MI:10,6.401706063797082e-05
3,ChemEnv_std_I:12,0.00011434008696052235
3,ChemEnv_std_TT:12,0.00020322486718637035
3,ChemEnv_std_C:12,0.0001146110492914235
3,ChemEnv_std_AC:12,0.0012347713143330114
3,ChemEnv_min_T:5,0.0018669224773397554
3,ChemEnv_min_C:12,0.03454643977358418
3,ChemEnv_min_AC:12,0.0010301117473653276
3,ChemEnv_max_TL:3,0.0014400101655279982
3,ChemEnv_max_TY:3,0.0012569227589686366
3,ChemEnv_max_S:4,0.0004282744102229045
3,ChemEnv_max_SS:4,0.0002813865400171441
3,ChemEnv_max_S:5,0.007881004657545458
3,ChemEnv_max_O:6,0.0023202501516216088
3,ChemEnv_max_ST:7,0.00010458140947923496
3,ChemEnv_max_C:8,0.0006960219907773371
3,ChemEnv_max_SBT:8,0.005402858505862074
3,ChemEnv_max_DD:8,4.43774015913e-05
3,ChemEnv_max_DDPN:8,5.317305347140413e-06
3,ChemEnv_max_HB:8,0.001650384002801894
3,ChemEnv_max_BO_1:8,0.000222491061862116
3,ChemEnv_max_BO_3:8,0.0
3,ChemEnv_max_MI:10,0.03889647623547824
3,ChemEnv_max_I:12,0.002234955592826116
3,ChemEnv_max_C:12,0.00020321629525803535
3,ChemEnv_max_AC:12,0.005402238267910969
4,2-norm,0.00028314091498783575
4,3-norm,0.0012830342872627335
4,5-norm,5.0658293976841e-06
4,7-norm,5.707639817829967e-09
4,10-norm,1.0438100129077976e-05
4,Cu,1.3387496108459093e-06
4,Pt,0.00013323560738196395
4,MagpieData mean Number,1.1278025169878755e-06
4,MagpieData avg_dev Number,0.0006743615197142181
4,MagpieData mean MendeleevNumber,5.8333110882242055e-06
4,MagpieData avg_dev MendeleevNumber,2.583672644111774e-05
4,MagpieData mean AtomicWeight,0.00042847293717164964
4,MagpieData mean MeltingT,3.651773029872258e-05
4,MagpieData avg_dev MeltingT,2.460266205098935e-05
4,MagpieData mean Column,4.359298775758162e-05
4,MagpieData avg_dev Column,2.917910219443481e-07
4,MagpieData mode Column,9.961894126352656e-07
4,MagpieData mean Row,7.836413857574844e-07
4,MagpieData avg_dev Row,7.84697585413515e-08
4,MagpieData avg_dev CovalentRadius,2.856775047448301e-05
4,MagpieData mean Electronegativity,5.968610668724936e-05
4,MagpieData avg_dev Electronegativity,9.433608300951739e-06
4,MagpieData mean NdValence,3.3927466172598295e-05
4,MagpieData avg_dev NdValence,0.0004973415618365506
4,MagpieData avg_dev NfValence,0.0007934784543895444
4,MagpieData avg_dev NValence,4.69686360379124e-06
4,MagpieData mean NdUnfilled,5.841945673082476e-06
4,MagpieData avg_dev NdUnfilled,2.648043162911755e-05
4,MagpieData mean NUnfilled,3.405907074466122e-06
4,MagpieData avg_dev NUnfilled,9.758966149177692e-06
4,MagpieData mean GSvolume_pa,0.0004263199009440077
4,MagpieData avg_dev GSvolume_pa,1.9780184717124205e-06
4,avg d valence electrons,0.0003870840917238395
4,avg f valence electrons,0.00023075625562381954
4,frac s valence electrons,1.6235719217294657e-06
4,frac d valence electrons,1.094604651378722e-05
4,frac f valence electrons,6.590048355611125e-06
4,density,0.7260143110917313
4,vpa,0.049511298876787395
4,packing fraction,0.058995973009072576
4,spacegroup_num,0.0029200521222474143
4,crystal_system_int,4.0671792769065425e-05
4,n_symmetry_ops,0.00012749408820039943
4,ChemEnv_mean_TL:3,0.0008742519737910808
4,ChemEnv_mean_TY:3,0.00040480308863291694
4,ChemEnv_mean_TS:3,1.1446061892152734e-05
4,ChemEnv_mean_S:4,0.00018486684318314305
4,ChemEnv_mean_SY:4,0.000422140145140713
4,ChemEnv_mean_S:5,0.014742617479232934
4,ChemEnv_mean_T:5,0.0034151245623005775
4,ChemEnv_mean_C:8,0.00026290569758282686
4,ChemEnv_mean_SA:8,5.053681858233181e-05
4,ChemEnv_mean_SBT:8,1.7854363885830697e-05
4,ChemEnv_mean_DD:8,0.0
4,ChemEnv_mean_DDPN:8,2.7307594583628933e-06
4,ChemEnv_mean_HB:8,4.610404252973958e-05
4,ChemEnv_mean_BO_3:8,0.0
4,ChemEnv_mean_MI:10,0.023529313628077152
4,ChemEnv_mean_BS_1:10,8.28763283423058e-05
4,ChemEnv_mean_I:12,0.0013396545970355987
