fold,feature,importance
1,0-norm,0.0
1,2-norm,0.003722179887390919
1,3-norm,1.754354871725061e-05
1,5-norm,0.0
1,7-norm,9.07654805378175e-05
1,10-norm,0.0005638491816199027
1,Cu,2.697425624006703e-07
1,Pt,0.00014239719227372878
1,MagpieData minimum Number,0.0
1,MagpieData maximum Number,3.7591250652870664e-10
1,MagpieData range Number,9.415799550529734e-06
1,MagpieData mean Number,0.00015999057917120242
1,MagpieData avg_dev Number,1.2948317862369232e-05
1,MagpieData mode Number,1.897816199245662e-05
1,MagpieData minimum MendeleevNumber,0.0
1,MagpieData maximum MendeleevNumber,1.74379514982536e-07
1,MagpieData range MendeleevNumber,0.0
1,MagpieData mean MendeleevNumber,9.635560232229319e-07
1,MagpieData avg_dev MendeleevNumber,2.161147331084435e-07
1,MagpieData mode MendeleevNumber,7.345308192951855e-07
1,MagpieData minimum AtomicWeight,8.059950540250918e-05
1,MagpieData maximum AtomicWeight,0.0
1,MagpieData range AtomicWeight,0.001986710422003555
1,MagpieData mean AtomicWeight,1.8030033517294326e-05
1,MagpieData avg_dev AtomicWeight,6.7087807796530885e-06
1,MagpieData mode AtomicWeight,7.360601718698917e-06
1,MagpieData minimum MeltingT,0.0
1,MagpieData maximum MeltingT,0.0
1,MagpieData range MeltingT,5.659677394103129e-09
1,MagpieData mean MeltingT,0.000124728440015492
1,MagpieData avg_dev MeltingT,0.0003696102310266491
1,MagpieData mode MeltingT,9.943802303681197e-05
1,MagpieData minimum Column,0.0
1,MagpieData maximum Column,0.0
1,MagpieData range Column,0.0
1,MagpieData mean Column,3.513302144009881e-05
1,MagpieData avg_dev Column,4.962253533402968e-05
1,MagpieData mode Column,5.014588572755132e-06
1,MagpieData minimum Row,7.161778546524984e-05
1,MagpieData maximum Row,3.986299697522456e-06
1,MagpieData range Row,0.0
1,MagpieData mean Row,0.0005422970609668924
1,MagpieData avg_dev Row,8.825369413833437e-08
1,MagpieData mode Row,9.91582546004532e-05
1,MagpieData minimum CovalentRadius,0.0
1,MagpieData maximum CovalentRadius,0.0
1,MagpieData range CovalentRadius,1.8226114043654506e-05
1,MagpieData mean CovalentRadius,5.787270890493918e-05
1,MagpieData avg_dev CovalentRadius,8.327006330611471e-08
1,MagpieData mode CovalentRadius,0.0
1,MagpieData minimum Electronegativity,1.1611601021988717e-08
1,MagpieData maximum Electronegativity,0.0
1,MagpieData range Electronegativity,0.0
1,MagpieData mean Electronegativity,0.0001459909803650303
1,MagpieData avg_dev Electronegativity,9.23944038700086e-06
1,MagpieData mode Electronegativity,0.00017319911233256593
1,MagpieData minimum NdValence,0.000176927508274098
1,MagpieData maximum NdValence,0.0
1,MagpieData range NdValence,3.166879462722739e-05
1,MagpieData mean NdValence,0.0006993428833315762
1,MagpieData avg_dev NdValence,0.0016444662410803666
