model,category,feature,mean_importance,selected_folds,total_ChemEnv_importance
RF + Mutual Information,Top overall,density,0.7673505631620714,5,0.03549501757758624
RF + Mutual Information,Top overall,packing fraction,0.07584560317995584,5,0.03549501757758624
RF + Mutual Information,Top overall,vpa,0.07084152776198238,5,0.03549501757758624
RF + Mutual Information,Top overall,ChemEnv_min_C:12,0.00816115520356374,3,0.03549501757758624
RF + Mutual Information,Top overall,ChemEnv_mean_AC:12,0.00570611028609264,3,0.03549501757758624
RF + Mutual Information,Top ChemEnv,ChemEnv_min_C:12,0.00816115520356374,3,0.03549501757758624
RF + Mutual Information,Top ChemEnv,ChemEnv_mean_AC:12,0.00570611028609264,3,0.03549501757758624
RF + Mutual Information,Top ChemEnv,ChemEnv_max_AC:12,0.00418086638891628,3,0.03549501757758624
RF + Mutual Information,Top ChemEnv,ChemEnv_mean_I:12,0.00394802685492146,3,0.03549501757758624
RF + Mutual Information,Top ChemEnv,ChemEnv_mean_C:12,0.00342327744950048,3,0.03549501757758624
RF + Model Based,Top overall,density,0.7608462162400994,5,0.09759566831070085
RF + Model Based,Top overall,packing fraction,0.060609796935239976,5,0.09759566831070085
RF + Model Based,Top overall,vpa,0.05550334274938869,5,0.09759566831070085
RF + Model Based,Top overall,ChemEnv_min_C:12,0.015157630188860122,5,0.09759566831070085
RF + Model Based,Top overall,ChemEnv_mean_AC:12,0.01228378753307756,5,0.09759566831070085
RF + Model Based,Top ChemEnv,ChemEnv_min_C:12,0.015157630188860122,5,0.09759566831070085
RF + Model Based,Top ChemEnv,ChemEnv_mean_AC:12,0.01228378753307756,5,0.09759566831070085
RF + Model Based,Top ChemEnv,ChemEnv_max_AC:12,0.0075414850584251195,5,0.09759566831070085
RF + Model Based,Top ChemEnv,ChemEnv_mean_S:5,0.00652212913213378,5,0.09759566831070085
RF + Model Based,Top ChemEnv,ChemEnv_mean_C:12,0.0061135682341489205,5,0.09759566831070085
GB + Mutual Information,Top overall,density,0.7496480358196497,5,0.0798635261844457
GB + Mutual Information,Top overall,packing fraction,0.07897217952018994,5,0.0798635261844457
GB + Mutual Information,Top overall,vpa,0.07451019944656243,5,0.0798635261844457
GB + Mutual Information,Top overall,ChemEnv_min_C:12,0.022950422322392576,3,0.0798635261844457
GB + Mutual Information,Top overall,ChemEnv_mean_AC:12,0.008383271371485321,3,0.0798635261844457
GB + Mutual Information,Top ChemEnv,ChemEnv_min_C:12,0.022950422322392576,3,0.0798635261844457
GB + Mutual Information,Top ChemEnv,ChemEnv_mean_AC:12,0.008383271371485321,3,0.0798635261844457
GB + Mutual Information,Top ChemEnv,ChemEnv_mean_S:5,0.00417165961631068,3,0.0798635261844457
GB + Mutual Information,Top ChemEnv,ChemEnv_mean_C:12,0.00362878606936096,3,0.0798635261844457
GB + Mutual Information,Top ChemEnv,ChemEnv_mean_MI:10,0.00339396497241744,3,0.0798635261844457
GB + Model Based,Top overall,density,0.7364107487986432,5,0.12886152519655406
GB + Model Based,Top overall,vpa,0.0756986342196072,5,0.12886152519655406
GB + Model Based,Top overall,packing fraction,0.04918402610467782,5,0.12886152519655406
GB + Model Based,Top overall,ChemEnv_min_C:12,0.03533666867364688,5,0.12886152519655406
GB + Model Based,Top overall,ChemEnv_mean_MI:10,0.01168280826654294,4,0.12886152519655406
GB + Model Based,Top ChemEnv,ChemEnv_min_C:12,0.03533666867364688,5,0.12886152519655406
GB + Model Based,Top ChemEnv,ChemEnv_mean_MI:10,0.01168280826654294,4,0.12886152519655406
GB + Model Based,Top ChemEnv,ChemEnv_mean_AC:12,0.01113608632772066,5,0.12886152519655406
GB + Model Based,Top ChemEnv,ChemEnv_mean_C:12,0.010994492949579554,5,0.12886152519655406
GB + Model Based,Top ChemEnv,ChemEnv_max_MI:10,0.01028308959091302,5,0.12886152519655406
