fold,feature,importance
1,2-norm,0.0021058447681615534
1,5-norm,0.0021682870779379574
1,7-norm,0.0021981930094292328
1,Cu,0.0011459985699240735
1,MagpieData avg_dev Number,0.0017664892077981509
1,MagpieData mean MendeleevNumber,0.0013276415601803121
1,MagpieData avg_dev MendeleevNumber,0.0011369926586650924
1,MagpieData avg_dev AtomicWeight,0.0018609552270229064
1,MagpieData mode MeltingT,0.0005074265620467076
1,MagpieData avg_dev Row,0.002236502991931776
1,MagpieData mode CovalentRadius,5.765117832004554e-05
1,MagpieData mean Electronegativity,0.0020936424540408307
1,MagpieData avg_dev Electronegativity,0.0019349004728005082
1,MagpieData mean NdValence,0.00242295985651905
1,MagpieData mean NfValence,0.001706531092897861
1,MagpieData mean NValence,0.00205376124809241
1,MagpieData mode NValence,0.00015016135864844786
1,MagpieData mean NdUnfilled,0.0020127850434443536
1,MagpieData mean GSvolume_pa,0.00204986379075594
1,avg d valence electrons,0.002277032697221856
1,frac s valence electrons,0.0019341106852736436
1,frac d valence electrons,0.0019459369856886738
1,frac f valence electrons,0.001842179427091535
1,density,0.7264253188304062
1,vpa,0.07795533072890307
1,packing fraction,0.09686070487251552
1,spacegroup_num,0.005371837414452119
1,ChemEnv_mean_S:5,0.004041538320389417
1,ChemEnv_mean_O:6,0.0031934026553235577
1,ChemEnv_mean_BO_3:8,8.760140230901324e-06
1,ChemEnv_mean_I:12,0.0009990472879590863
1,ChemEnv_mean_C:12,0.003268413039689655
1,ChemEnv_mean_AC:12,0.005305346674342898
1,ChemEnv_std_S:5,0.0015736850339805374
1,ChemEnv_std_HB:8,0.00022175149531274122
1,ChemEnv_std_BO_3:8,0.00012139669714102162
1,ChemEnv_std_MI:10,0.00018338484185663318
1,ChemEnv_std_TT:12,0.00012115406748568055
1,ChemEnv_std_C:12,0.002563966425260123
1,ChemEnv_std_AC:12,0.0024620681244786544
1,ChemEnv_min_C:12,0.011986573923920718
1,ChemEnv_min_AC:12,0.0027006481088357333
1,ChemEnv_max_S:5,0.0011644901064679358
1,ChemEnv_max_O:6,0.0024294793439766107
1,ChemEnv_max_HB:8,0.004065383278112028
1,ChemEnv_max_BO_3:8,0.0
1,ChemEnv_max_MI:10,0.00025398491139529855
1,ChemEnv_max_I:12,0.0025003299451322675
1,ChemEnv_max_C:12,0.002058305021804283
1,ChemEnv_max_AC:12,0.003227850786734353
