fold,MAE,RMSE,R2,inner_validation_MAE,number_selected_features,best_parameters,configuration
1,4.414828679716181,9.11113051274968,0.892955093829704,3.7982238461993134,100,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500, ""selector__k"": 100}",RF + Mutual Information
2,3.3479935763251056,6.128047804479578,0.9453886109145548,4.281105731524027,25,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200, ""selector__k"": 25}",RF + Mutual Information
3,3.7061526393462367,6.328677020024621,0.934114097889036,3.8653943365815535,25,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500, ""selector__k"": 25}",RF + Mutual Information
4,3.3205655472618263,8.019632391904626,0.9240902835549276,4.198724261179782,100,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""selector__k"": 100}",RF + Mutual Information
5,5.52296840762377,19.295652028189952,0.6872958066722371,3.804774698319229,100,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""selector__k"": 100}",RF + Mutual Information
1,4.383048193179278,8.394840707395955,0.9091245886123164,3.8605785648053343,50,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500, ""selector__max_features"": 50}",RF + Model Selection
2,3.4276469768981026,6.985906586654298,0.9290284185899824,4.495979785812851,25,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200, ""selector__max_features"": 25}",RF + Model Selection
3,3.816630264545682,6.603384714605284,0.9282701649253776,4.172845894510744,25,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500, ""selector__max_features"": 25}",RF + Model Selection
4,3.8086946180904913,9.022107090227449,0.9039263253477368,4.088626767566439,25,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""selector__max_features"": 25}",RF + Model Selection
5,5.664477808548521,19.37074395620796,0.6848572001144244,3.790121865528081,100,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""selector__max_features"": 100}",RF + Model Selection
1,4.845836160022612,11.317772527735237,0.8348253511486528,3.656716505685723,100,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 300, ""selector__k"": 100}",GB + Mutual Information
2,3.99798571062034,8.2748066663872,0.9004240071065541,3.936294393328746,25,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 300, ""selector__k"": 25}",GB + Mutual Information
3,4.060994850022541,7.601066482107254,0.9049579721000914,4.073562736921732,100,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 100, ""selector__k"": 100}",GB + Mutual Information
4,3.5594940877365637,7.935106137668367,0.9256820148736712,4.133822307064787,100,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 300, ""selector__k"": 100}",GB + Mutual Information
5,5.639642365639991,19.265955294019044,0.6882575930179384,3.3705185154336803,100,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 300, ""selector__k"": 100}",GB + Mutual Information
1,4.79715338986881,10.725070337363448,0.8516724687423989,3.6019993543472806,25,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 300, ""selector__max_features"": 25}",GB + Model Selection
2,3.1120333758031387,6.737234230033866,0.9339911407771748,4.287467474621774,25,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 300, ""selector__max_features"": 25}",GB + Model Selection
3,3.5622426040658177,5.523565532771958,0.9498113338215896,4.262285786694385,25,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 300, ""selector__max_features"": 25}",GB + Model Selection
4,3.4263353623985697,7.97454242164692,0.9249414808479616,4.078808754031044,100,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 300, ""selector__max_features"": 100}",GB + Model Selection
5,5.4442574990512655,19.31723409891211,0.6865958999519046,3.4000561717412525,100,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 300, ""selector__max_features"": 100}",GB + Model Selection
