feature,importance
density,0.7284399050650913
vpa,0.07621458507909189
packing fraction,0.064314316774547
ChemEnv_min_C:12,0.03882364748660725
ChemEnv_mean_BO_3:8,0.008970482385363734
ChemEnv_max_AC:12,0.00670636710552497
ChemEnv_mean_AC:12,0.006615718292350915
ChemEnv_mean_S:5,0.006180178928906113
ChemEnv_mean_DD:8,0.005788734346238881
ChemEnv_mean_DDPN:8,0.005632369549179212
ChemEnv_mean_O:6,0.005507130120836342
ChemEnv_std_O:6,0.004911592997129581
ChemEnv_mean_C:12,0.0046748743581927895
ChemEnv_mean_I:12,0.00375905451679978
MagpieData mean AtomicWeight,0.00347552210782093
ChemEnv_max_TY:3,0.002767043554076122
ChemEnv_max_T:5,0.0024319674217278806
ChemEnv_max_O:6,0.002418350342229467
ChemEnv_std_MI:10,0.002267191670761253
ChemEnv_max_C:12,0.0020102803360418867
ChemEnv_max_MI:10,0.0016371000585762782
MagpieData avg_dev NdUnfilled,0.001471349078045838
spacegroup_num,0.001298262704179196
frac f valence electrons,0.0011712150113546628
ChemEnv_std_DD:8,0.0009552237407058784
ChemEnv_mean_T:5,0.0006992531754642688
n_symmetry_ops,0.0006543803407727532
ChemEnv_std_ST:7,0.0005910865981655384
ChemEnv_mean_L:2,0.0005756931538511196
ChemEnv_max_S:5,0.0005554331602969031
ChemEnv_std_I:12,0.0005063211954431723
ChemEnv_std_PA:10,0.0004790009459827009
MagpieData mean Row,0.00046790101377252517
ChemEnv_std_S:5,0.00043998598821183587
ChemEnv_std_BO_3:8,0.0003669838411898604
ChemEnv_max_BO_3:8,0.0003358590538907039
ChemEnv_std_BO_1:8,0.00033519498378474115
ChemEnv_std_S:4,0.0003349811533633018
ChemEnv_mean_TY:3,0.00033066886598275697
ChemEnv_mean_S:1,0.00030047994987477723
ChemEnv_mean_S:4,0.0002689719445253334
ChemEnv_max_TL:3,0.0002646429222550647
avg f valence electrons,0.000263338064084706
ChemEnv_std_C:12,0.00026120420848186
ChemEnv_max_HB:8,0.00025601132169918574
ChemEnv_mean_TL:3,0.00025047304661059236
MagpieData avg_dev CovalentRadius,0.00022906114648555317
ChemEnv_std_BS_1:10,0.00021957775613046357
ChemEnv_std_AC:12,0.00019691139068292291
ChemEnv_max_S:4,0.00018488113501429152
ChemEnv_min_AC:12,0.00017045119602182018
ChemEnv_std_HB:8,0.00016061094404328457
ChemEnv_mean_BO_1:8,0.0001576921756042094
MagpieData mean NfValence,0.00013939818692118108
ChemEnv_std_C:8,0.00012207830316293577
ChemEnv_max_T:4,0.00012062623479021917
MagpieData mean MeltingT,9.960798675736969e-05
ChemEnv_std_T:6,8.926421283587198e-05
Cu,8.588065827978994e-05
ChemEnv_std_S:1,8.186245962987998e-05
MagpieData avg_dev AtomicWeight,8.121392454253736e-05
frac d valence electrons,7.615120294009433e-05
MagpieData mean CovalentRadius,7.441042597811217e-05
MagpieData avg_dev NUnfilled,6.591266347636055e-05
MagpieData mean NdUnfilled,6.436955822863849e-05
ChemEnv_max_SA:8,5.742188464948758e-05
7-norm,5.61802319929137e-05
ChemEnv_mean_SMA:9,5.484439601662591e-05
ChemEnv_std_SY:4,5.2545433493666045e-05
ChemEnv_max_ST:7,5.0303268563818126e-05
10-norm,4.1050580297007897e-05
MagpieData mean Number,3.7388759793721905e-05
MagpieData avg_dev NfValence,2.6789827276453264e-05
frac s valence electrons,2.5652545898143036e-05
ChemEnv_max_SY:4,2.5194303252804097e-05
MagpieData avg_dev NValence,2.3136571270718454e-05
MagpieData mean MendeleevNumber,1.932526859621894e-05
ChemEnv_mean_T:4,1.7846142744548683e-05
avg d valence electrons,1.724505421938951e-05
MagpieData avg_dev MendeleevNumber,1.468539676862896e-05
ChemEnv_max_I:12,1.2385525131738865e-05
ChemEnv_std_SBT:8,1.2151742086026349e-05
MagpieData avg_dev Row,1.0133436326557263e-05
ChemEnv_mean_MI:10,7.929830703144017e-06
2-norm,7.030766503410148e-06
ChemEnv_mean_HB:8,7.007841763471391e-06
MagpieData avg_dev Electronegativity,6.4051294320536146e-06
5-norm,5.9478223335478106e-06
MagpieData avg_dev NdValence,4.255928196429951e-06
MagpieData avg_dev MeltingT,3.905362366247251e-06
3-norm,2.9474297150253477e-06
MagpieData avg_dev Column,0.0
MagpieData maximum AtomicWeight,0.0
MagpieData avg_dev Number,0.0
MagpieData mean Column,0.0
ChemEnv_mean_SA:8,0.0
ChemEnv_std_TS:3,0.0
ChemEnv_std_SS:4,0.0
ChemEnv_min_T:5,0.0
ChemEnv_max_DD:8,0.0
