fold,feature,importance
1,2-norm,0.00031877271262265093
1,MagpieData mean MendeleevNumber,0.0022000864925491186
1,frac s valence electrons,0.006506452910937855
1,frac d valence electrons,0.0021689948220434013
1,density,0.7147578890162752
1,vpa,0.13301866779009014
1,packing fraction,0.06090315716050316
1,spacegroup_num,0.008279766775113127
1,ChemEnv_mean_S:5,0.0019376463114922824
1,ChemEnv_mean_BO_3:8,0.0006045299531051179
1,ChemEnv_mean_C:12,0.0004518847516198722
1,ChemEnv_mean_AC:12,0.006665568203422537
1,ChemEnv_std_S:5,0.0025968491914932098
1,ChemEnv_std_HB:8,0.0004536963181440117
1,ChemEnv_std_BO_3:8,0.0022221250236491197
1,ChemEnv_std_MI:10,0.002295610461090799
1,ChemEnv_std_C:12,0.00027813778762782074
1,ChemEnv_std_AC:12,0.0024556418210788192
1,ChemEnv_min_C:12,0.025727768453074833
1,ChemEnv_min_AC:12,0.002248739605037124
1,ChemEnv_max_S:5,0.004102466428960196
1,ChemEnv_max_HB:8,0.005976385709013823
1,ChemEnv_max_MI:10,0.003906551576859223
1,ChemEnv_max_C:12,0.00035539990765124594
1,ChemEnv_max_AC:12,0.009567210816545232
2,density,0.7245368712006015
2,vpa,0.08324557975892494
2,packing fraction,0.038408672930999324
2,n_symmetry_ops,0.0019053796421975501
2,ChemEnv_mean_S:5,0.0005838776905954327
2,ChemEnv_mean_O:6,0.013538115245302606
2,ChemEnv_mean_DD:8,0.012188703703550293
2,ChemEnv_mean_BO_3:8,0.011830729924102092
2,ChemEnv_mean_MI:10,0.000973522788374095
2,ChemEnv_mean_I:12,0.004992509923810843
2,ChemEnv_mean_C:12,0.005785201470703981
2,ChemEnv_mean_AC:12,0.008306268962570579
2,ChemEnv_std_S:5,0.0024297498671441977
2,ChemEnv_std_O:6,0.007751141627903227
2,ChemEnv_std_HB:8,0.00023097697730451851
2,ChemEnv_std_BO_3:8,0.0017687297973327234
2,ChemEnv_min_C:12,0.06017431672574738
2,ChemEnv_min_AC:12,0.0006046662979953777
2,ChemEnv_max_S:5,0.0005473574484684948
2,ChemEnv_max_HB:8,0.0037620305669676924
2,ChemEnv_max_BO_3:8,0.0
2,ChemEnv_max_MI:10,0.004716667743249207
2,ChemEnv_max_I:12,0.001223985514495236
2,ChemEnv_max_C:12,0.007238751383580352
2,ChemEnv_max_AC:12,0.0032561928080782356
3,10-norm,0.0049977877485663
3,density,0.6986683791190877
3,vpa,0.08908292969556801
3,packing fraction,0.07117071694924935
3,n_symmetry_ops,0.0018363601594090753
3,ChemEnv_mean_S:5,0.004960625298093526
3,ChemEnv_mean_DD:8,0.001530968154157253
3,ChemEnv_mean_DDPN:8,0.011096415623687605
3,ChemEnv_mean_MI:10,0.0007599406804266848
3,ChemEnv_mean_I:12,0.004573115071629237
3,ChemEnv_mean_C:12,0.01547821494209216
3,ChemEnv_mean_AC:12,0.012608626151991499
3,ChemEnv_std_S:5,0.0035743387745362913
3,ChemEnv_std_O:6,0.01779688904355572
3,ChemEnv_std_DD:8,0.0010364907424646383
3,ChemEnv_std_DDPN:8,0.00024310994047819544
3,ChemEnv_std_HB:8,0.0008985418044262953
3,ChemEnv_min_C:12,0.033623098967237385
3,ChemEnv_min_AC:12,0.002074887675983284
3,ChemEnv_max_TL:3,0.002765420281793174
3,ChemEnv_max_S:5,0.0050834435331383165
3,ChemEnv_max_HB:8,0.0029718964969160286
3,ChemEnv_max_BO_3:8,0.0019861682530732047
3,ChemEnv_max_C:12,0.0026543298350436544
3,ChemEnv_max_AC:12,0.008527305057395608
4,2-norm,2.010763815425144e-05
4,3-norm,1.844232350201693e-05
4,5-norm,2.193725986736967e-07
4,7-norm,0.000741695811375939
4,10-norm,1.0244733007444693e-05
4,Cu,9.800816506510082e-05
4,Pt,0.0007503698023258704
4,MagpieData mean Number,0.0
4,MagpieData avg_dev Number,0.0
4,MagpieData mean MendeleevNumber,0.00026920923757752527
4,MagpieData avg_dev MendeleevNumber,0.0
4,MagpieData mean AtomicWeight,0.00026080804546677803
4,MagpieData mean MeltingT,0.0
4,MagpieData avg_dev MeltingT,6.864927998428578e-05
4,MagpieData mean Column,0.0
4,MagpieData avg_dev Column,1.635134263148574e-05
4,MagpieData mode Column,0.0
4,MagpieData mean Row,0.00025010462301832835
4,MagpieData avg_dev Row,0.0
4,MagpieData avg_dev CovalentRadius,0.0
4,MagpieData mean Electronegativity,0.0005916133924524171
4,MagpieData avg_dev Electronegativity,0.0
4,MagpieData mean NdValence,7.157815725164318e-05
4,MagpieData avg_dev NdValence,1.4246395236131709e-05
4,MagpieData avg_dev NfValence,0.0
4,MagpieData avg_dev NValence,0.0
4,MagpieData mean NdUnfilled,0.0
4,MagpieData avg_dev NdUnfilled,2.7154538147455534e-05
4,MagpieData mean NUnfilled,0.0
4,MagpieData avg_dev NUnfilled,0.0
4,MagpieData mean GSvolume_pa,5.540965773371432e-06
4,MagpieData avg_dev GSvolume_pa,2.2203042039060324e-05
4,avg d valence electrons,0.0013231522987008232
4,avg f valence electrons,0.00046522024582059096
4,frac s valence electrons,0.00032693330845995317
4,frac d valence electrons,4.58685068893176e-05
4,frac f valence electrons,0.0003022232137012243
4,density,0.7353933497647426
4,vpa,0.07371649085796501
4,packing fraction,0.04710142157033699
4,spacegroup_num,0.00048359546369210985
4,crystal_system_int,0.0
4,n_symmetry_ops,0.0003571385469598241
4,ChemEnv_mean_TL:3,0.0001387576879352351
4,ChemEnv_mean_TY:3,5.627896013829926e-05
4,ChemEnv_mean_TS:3,7.758409358946611e-05
4,ChemEnv_mean_S:4,0.0005767028596888102
4,ChemEnv_mean_SY:4,0.0006735233043678109
4,ChemEnv_mean_S:5,0.012095391833300015
4,ChemEnv_mean_T:5,0.0011826807874719008
4,ChemEnv_mean_C:8,0.0006791809380389538
4,ChemEnv_mean_SA:8,2.7700991962807545e-07
4,ChemEnv_mean_SBT:8,0.0
4,ChemEnv_mean_DD:8,0.0
4,ChemEnv_mean_DDPN:8,2.8025881255111484e-05
4,ChemEnv_mean_HB:8,0.0063461635356571455
4,ChemEnv_mean_BO_3:8,0.036218678469816204
4,ChemEnv_mean_MI:10,0.0013362333991958869
4,ChemEnv_mean_BS_1:10,0.0004123226583585417
4,ChemEnv_mean_I:12,0.00020325412862116945
4,ChemEnv_mean_C:12,0.008625648645980952
4,ChemEnv_mean_AC:12,0.0037128477622009586
4,ChemEnv_std_S:1,8.60829195559854e-05
4,ChemEnv_std_TS:3,2.4182041304793654e-05
4,ChemEnv_std_SY:4,0.000203871181865115
4,ChemEnv_std_SS:4,1.732218209947536e-05
4,ChemEnv_std_S:5,0.008838495885690186
4,ChemEnv_std_O:6,0.0
4,ChemEnv_std_T:6,0.0
4,ChemEnv_std_DD:8,0.0
4,ChemEnv_std_HB:8,0.012488023215687814
4,ChemEnv_std_BO_3:8,0.00033489642342721907
4,ChemEnv_std_MI:10,0.0020330937907747314
4,ChemEnv_std_BS_1:10,0.00016190763362753172
4,ChemEnv_std_I:12,0.0010463843807725737
4,ChemEnv_std_TT:12,0.0014161755568924733
4,ChemEnv_std_C:12,0.0007704438307892059
4,ChemEnv_std_AC:12,0.0003216282403663628
4,ChemEnv_min_C:12,0.021554662746849793
4,ChemEnv_min_AC:12,0.0022172017606183507
4,ChemEnv_max_TL:3,4.8562742260032294e-05
4,ChemEnv_max_TY:3,0.0009738910834734787
4,ChemEnv_max_TS:3,2.4186177212235807e-05
4,ChemEnv_max_SY:4,0.00044048341381510846
4,ChemEnv_max_S:5,0.0016077315223857146
4,ChemEnv_max_T:5,0.0025029412130904865
4,ChemEnv_max_O:6,6.0930595814348984e-05
4,ChemEnv_max_T:6,0.0006560971922396286
4,ChemEnv_max_ST:7,0.00021402726643935364
4,ChemEnv_max_C:8,0.0010755984554830624
4,ChemEnv_max_DD:8,0.0
4,ChemEnv_max_DDPN:8,1.838332557677395e-05
4,ChemEnv_max_HB:8,0.0021924598309817356
4,ChemEnv_max_BO_3:8,0.0
4,ChemEnv_max_PA:10,2.4466360365698923e-05
4,ChemEnv_max_MI:10,0.002435482756752437
