feature,importance
density,0.7479253594170857
packing fraction,0.07327701474878617
vpa,0.0540770153079935
ChemEnv_min_C:12,0.018353643888886374
MagpieData avg_dev NdUnfilled,0.009323873931147551
ChemEnv_mean_AC:12,0.009147735415480234
ChemEnv_mean_C:12,0.007769691604385339
ChemEnv_mean_S:5,0.007281291532646833
MagpieData mean Column,0.007261042892295348
ChemEnv_max_S:5,0.006309252656137758
ChemEnv_max_AC:12,0.005582638013064121
ChemEnv_mean_MI:10,0.0051258366652868325
ChemEnv_std_S:5,0.004849170206447837
ChemEnv_mean_BO_3:8,0.0046706959546574545
ChemEnv_std_O:6,0.004552606144847176
ChemEnv_max_C:12,0.004198009240175475
n_symmetry_ops,0.004099918384539446
ChemEnv_std_MI:10,0.003841395460058688
ChemEnv_std_HB:8,0.0038231817854365545
ChemEnv_max_MI:10,0.0036426407391334462
ChemEnv_mean_I:12,0.003437325069777333
ChemEnv_min_AC:12,0.0031149358353858196
ChemEnv_std_BO_3:8,0.0030464265252540205
ChemEnv_std_C:12,0.002742326269085165
ChemEnv_max_TL:3,0.0025469723120058064
