fold,feature,importance
1,0-norm,2.107447423629289e-05
1,2-norm,0.0014551745406973392
1,3-norm,0.0010983393560791831
1,5-norm,0.00124736179900617
1,7-norm,0.0009632650479466426
1,10-norm,0.0008645340629257807
1,Cu,0.000979542823773645
1,Pt,0.0010953499555533697
1,MagpieData maximum Number,0.00027369691694669124
1,MagpieData range Number,6.863382287635698e-05
1,MagpieData mean Number,0.0007604338964151935
1,MagpieData avg_dev Number,0.0005804361878987635
1,MagpieData mode Number,0.0006352550195906085
1,MagpieData minimum MendeleevNumber,0.0005638646250481801
1,MagpieData range MendeleevNumber,2.26962989710651e-05
1,MagpieData mean MendeleevNumber,0.0011462851897235148
1,MagpieData avg_dev MendeleevNumber,0.0004849251874343176
1,MagpieData mode MendeleevNumber,5.8819624071183504e-05
1,MagpieData maximum AtomicWeight,3.5092936208691767e-06
1,MagpieData range AtomicWeight,0.000224460642179316
1,MagpieData mean AtomicWeight,0.001112930919782149
1,MagpieData avg_dev AtomicWeight,0.0007229630114829264
1,MagpieData mode AtomicWeight,0.00025717880891747293
1,MagpieData maximum MeltingT,0.00016786895815883756
1,MagpieData range MeltingT,3.613755211443189e-05
1,MagpieData mean MeltingT,0.0005700047756724993
1,MagpieData avg_dev MeltingT,0.000345802534304431
1,MagpieData mode MeltingT,7.6356721993707e-05
1,MagpieData minimum Column,0.0005023359141932923
1,MagpieData range Column,2.539341326344238e-05
1,MagpieData mean Column,0.0010514160039469056
1,MagpieData avg_dev Column,0.0010985836027579837
1,MagpieData mode Column,3.903729206677387e-05
1,MagpieData maximum Row,0.0001824838502789099
1,MagpieData range Row,3.384623136810573e-05
1,MagpieData mean Row,0.0010574958081760724
1,MagpieData avg_dev Row,0.000864279906416956
1,MagpieData mode Row,4.0294688673937956e-05
1,MagpieData maximum CovalentRadius,7.95419308705321e-06
1,MagpieData range CovalentRadius,1.5952217480972744e-05
1,MagpieData mean CovalentRadius,0.00022629008306061324
1,MagpieData avg_dev CovalentRadius,0.0003909799151865246
1,MagpieData mode CovalentRadius,0.0006528216837953534
1,MagpieData maximum Electronegativity,0.0001928450817768165
1,MagpieData range Electronegativity,0.00023101670294406142
1,MagpieData mean Electronegativity,0.001245464882753642
1,MagpieData avg_dev Electronegativity,0.0007188303994245273
1,MagpieData mode Electronegativity,9.91938864082529e-05
1,MagpieData minimum NdValence,5.569546363234736e-05
1,MagpieData range NdValence,0.00016469748207470288
1,MagpieData mean NdValence,0.00039202961180986846
1,MagpieData avg_dev NdValence,0.0008996738037113701
1,MagpieData mode NdValence,4.23958190164507e-06
1,MagpieData maximum NfValence,1.549621135433489e-05
1,MagpieData range NfValence,2.4410020704289457e-05
1,MagpieData mean NfValence,0.0005804545032273729
1,MagpieData avg_dev NfValence,0.00029140063017273873
1,MagpieData mode NfValence,3.3427828825177006e-05
1,MagpieData minimum NValence,3.9782370227325176e-05
1,MagpieData maximum NValence,3.741950189625721e-05
1,MagpieData range NValence,1.725028438841982e-05
1,MagpieData mean NValence,0.0011616806347453075
1,MagpieData avg_dev NValence,0.000601051275434957
1,MagpieData mode NValence,0.0005445885738362749
1,MagpieData minimum NdUnfilled,1.806834699869525e-05
1,MagpieData maximum NdUnfilled,1.8470851471392387e-05
1,MagpieData range NdUnfilled,4.589586456692234e-05
1,MagpieData mean NdUnfilled,0.0011119594869864458
1,MagpieData avg_dev NdUnfilled,0.0009443005170521668
1,MagpieData mode NdUnfilled,7.102842360553891e-05
1,MagpieData minimum NUnfilled,2.4898298666574187e-05
1,MagpieData maximum NUnfilled,4.696735380155201e-05
1,MagpieData range NUnfilled,1.6347384364321476e-05
1,MagpieData mean NUnfilled,0.0009657195981437913
1,MagpieData avg_dev NUnfilled,0.0012755962800242021
1,MagpieData mode NUnfilled,4.077915779417857e-05
1,MagpieData minimum GSvolume_pa,1.6344824955212057e-05
1,MagpieData maximum GSvolume_pa,1.9575773718566377e-05
1,MagpieData range GSvolume_pa,3.2900053817480034e-05
1,MagpieData mean GSvolume_pa,0.0008986261813009939
1,MagpieData avg_dev GSvolume_pa,0.0005765711127443528
1,MagpieData mode GSvolume_pa,4.447535429562301e-05
1,avg d valence electrons,0.0016616828293102898
1,avg f valence electrons,0.0009329499337868947
1,frac s valence electrons,0.0017874610902518502
1,frac d valence electrons,0.0012854475294208462
1,frac f valence electrons,0.0008339479218248961
1,density,0.7300361857522779
1,vpa,0.08413769564090892
1,packing fraction,0.09718612847247562
1,n_symmetry_ops,0.004918285761003224
1,ChemEnv_mean_I:12,0.0032811612334299987
1,ChemEnv_mean_C:12,0.005519739142765194
1,ChemEnv_mean_AC:12,0.005510535264425795
1,ChemEnv_std_AC:12,0.0034803348281923522
1,ChemEnv_min_I:12,0.0002941826548306234
1,ChemEnv_min_C:12,0.01291675357705195
1,ChemEnv_min_AC:12,0.0025628242630856236
1,ChemEnv_max_I:12,0.003774722682747497
1,ChemEnv_max_AC:12,0.0043347209754790355
2,10-norm,0.011334493533633427
2,Cu,0.0018697210659063014
2,Pt,0.001555907815035072
2,MagpieData mean Number,0.002894561935655773
2,MagpieData mean MendeleevNumber,0.0018499428978671802
2,MagpieData mean AtomicWeight,0.0013080065767908501
2,MagpieData mean MeltingT,0.001053313394828372
2,MagpieData mean Column,0.0020564835036361007
2,MagpieData mean Row,0.0030306057293757326
2,MagpieData mean CovalentRadius,0.0028927898640163357
2,MagpieData mean Electronegativity,0.0009412720480526606
2,MagpieData mean NdValence,0.002564343473096077
2,MagpieData mean NfValence,0.0014718315521118277
2,MagpieData mean NValence,0.002582788207429779
2,MagpieData mean NdUnfilled,0.0017238797329291015
2,MagpieData mean NUnfilled,0.0018614551428450248
2,MagpieData mean GSvolume_pa,0.0020501850482202407
2,avg d valence electrons,0.002228231102088318
2,avg f valence electrons,0.0006750655585360294
2,frac s valence electrons,0.0025862472873984716
2,frac d valence electrons,0.0018214306958861547
2,frac f valence electrons,0.0016797648425335803
2,density,0.7781408201938745
2,vpa,0.07271830786481458
2,packing fraction,0.09710855093343851
3,10-norm,0.012180963823092411
3,Cu,0.0027810730036207727
3,Pt,0.002026504868133855
3,MagpieData mean Number,0.0016468383286382669
3,MagpieData mean MendeleevNumber,0.0034150037120593587
3,MagpieData mean AtomicWeight,0.001218824605409492
3,MagpieData mean MeltingT,0.0019037063204566127
3,MagpieData mean Column,0.0019093429888127696
3,MagpieData mean Row,0.001543987375208419
3,MagpieData mean CovalentRadius,0.0015438970924939023
3,MagpieData mean Electronegativity,0.0019870692777778556
3,MagpieData mean NdValence,0.0027649564600096366
3,MagpieData mean NfValence,0.0014658022164402644
3,MagpieData mean NValence,0.0021098087452460623
3,MagpieData mean NdUnfilled,0.0013306835490686324
3,MagpieData mean NUnfilled,0.0019943601964712916
3,MagpieData mean GSvolume_pa,0.0018652211335879825
3,avg d valence electrons,0.0026892011302650297
3,avg f valence electrons,0.0015013468701856804
3,frac s valence electrons,0.0019109725122197197
3,frac d valence electrons,0.002212644594904678
3,frac f valence electrons,0.0014983110750313973
3,density,0.7486089126342991
3,vpa,0.10188607619887773
